h_tract,jobs_2011,jobs_2023,change,pct_change
48029181713,0.0,9.0,9.0,
48501950200,0.0,9.0,9.0,
48029181726,0.0,9.0,9.0,
48029171924,0.0,9.0,9.0,
48479001806,7.0,16.0,9.0,128.57142857142858
48357950300,0.0,9.0,9.0,
48189950600,0.0,9.0,9.0,
48029131601,0.0,9.0,9.0,
48029121910,0.0,9.0,9.0,
48303002401,0.0,9.0,9.0,
48479001709,0.0,9.0,9.0,
48029161100,0.0,9.0,9.0,
48135001900,11.0,20.0,9.0,81.81818181818183
48135000600,17.0,26.0,9.0,52.94117647058824
48485012100,0.0,9.0,9.0,
48325000401,0.0,9.0,9.0,
48381021611,0.0,9.0,9.0,
48329010129,0.0,9.0,9.0,
48027021801,0.0,9.0,9.0,
48029181733,0.0,9.0,9.0,
48265960700,0.0,9.0,9.0,
48029171801,0.0,8.0,8.0,
48491021601,0.0,8.0,8.0,
48329010121,0.0,8.0,8.0,
48029191409,0.0,8.0,8.0,
48029121604,0.0,8.0,8.0,
48485012800,0.0,8.0,8.0,
48029191410,0.0,8.0,8.0,
48029180702,0.0,8.0,8.0,
48029172005,0.0,8.0,8.0,
48485011400,0.0,8.0,8.0,
48027023117,0.0,8.0,8.0,
48453000601,0.0,8.0,8.0,
48029191806,0.0,8.0,8.0,
48029191807,0.0,8.0,8.0,
48029191818,0.0,8.0,8.0,
48451000200,0.0,8.0,8.0,
48475950100,28.0,36.0,8.0,28.57142857142857
48265960601,0.0,8.0,8.0,
48029131507,2.0,10.0,8.0,400.0
48029121702,0.0,8.0,8.0,
48325000402,0.0,8.0,8.0,
48303010505,0.0,8.0,8.0,
48303010510,0.0,8.0,8.0,
48371950400,27.0,35.0,8.0,29.629629629629626
48325000101,0.0,8.0,8.0,
48029121909,0.0,8.0,8.0,
48027020302,0.0,8.0,8.0,
48479001300,0.0,8.0,8.0,
48303002203,0.0,8.0,8.0,
48303000411,0.0,8.0,8.0,
48375011700,0.0,8.0,8.0,
48151950400,0.0,8.0,8.0,
48029121206,0.0,8.0,8.0,
48381020800,0.0,8.0,8.0,
48479001825,0.0,8.0,8.0,
48029121300,1.0,9.0,8.0,800.0
48369950300,0.0,8.0,8.0,
48027021908,0.0,8.0,8.0,
48017950101,0.0,8.0,8.0,
48209010816,0.0,8.0,8.0,
48029181721,0.0,8.0,8.0,
48381021606,0.0,8.0,8.0,
48451001102,0.0,8.0,8.0,
48027021601,0.0,8.0,8.0,
48439111317,0.0,7.0,7.0,
48027023301,0.0,7.0,7.0,
48209010309,0.0,7.0,7.0,
48451001200,0.0,7.0,7.0,
48451000802,0.0,7.0,7.0,
48053960301,0.0,7.0,7.0,
48479001706,0.0,7.0,7.0,
48479001714,5.0,12.0,7.0,140.0
48479001401,0.0,7.0,7.0,
48479001201,0.0,7.0,7.0,
48303002104,0.0,7.0,7.0,
48303002001,0.0,7.0,7.0,
48303010504,0.0,7.0,7.0,
48381020600,0.0,7.0,7.0,
48479001719,1.0,8.0,7.0,700.0
48029131609,4.0,11.0,7.0,175.0
48303010514,0.0,7.0,7.0,
48479001824,4.0,11.0,7.0,175.0
48029150900,0.0,7.0,7.0,
48029121402,1.0,8.0,7.0,700.0
48491020604,0.0,7.0,7.0,
48479001101,0.0,7.0,7.0,
48265960800,0.0,7.0,7.0,
48027023111,0.0,7.0,7.0,
48127950201,0.0,7.0,7.0,
48099010502,0.0,7.0,7.0,
48029191003,0.0,7.0,7.0,
48029181727,0.0,7.0,7.0,
48453043900,0.0,7.0,7.0,
48029181731,0.0,7.0,7.0,
48029180901,0.0,7.0,7.0,
48029171912,0.0,7.0,7.0,
48497150101,0.0,7.0,7.0,
48485011600,0.0,7.0,7.0,
48029120800,0.0,7.0,7.0,
48329000305,10.0,17.0,7.0,70.0
48029172008,0.0,7.0,7.0,
48323950701,5.0,12.0,7.0,140.0
48135001800,6.0,13.0,7.0,116.66666666666667
48325000500,0.0,7.0,7.0,
48233950600,0.0,7.0,7.0,
48485012600,0.0,7.0,7.0,
48099010400,0.0,7.0,7.0,
48029121606,0.0,7.0,7.0,
48479000904,0.0,7.0,7.0,
48489950300,0.0,7.0,7.0,
48309003708,0.0,7.0,7.0,
